"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.54442952806658e-90,5.9366190110512,0.893,0.036,3.8809969610785e-86,"36","Hist1h1b"
1.69810663646858e-21,5.93618075311056,0.273,0.004,4.2671721667819e-17,"36","Hist1h2an"
1.36663021533379e-80,11.4916943381384,0.834,0.001,3.43420506811229e-76,"37","Fezf2"
3.16069239010724e-33,9.86039102480378,0.404,0.001,7.94250390710049e-29,"37","Ctf2"
4.60186292974357e-52,9.63702184529299,0.592,0.001,1.15640213561526e-47,"37","Otop1"
2.11317756428682e-32,9.57258614434378,0.395,0.001,5.31020390129636e-28,"37","Gulo"
4.24006637748722e-21,9.33885402103145,0.265,0,1.06548627999876e-16,"37","Epp13"
6.75038457957372e-28,7.38226173045627,0.311,0.003,1.69630414100108e-23,"4","Adgre4"
5.53192862870939e-23,6.47689019102429,0.284,0.005,1.39011834510838e-18,"4","Ly6i"
2.20270018553713e-40,6.08030495679061,0.471,0.012,5.53516529623625e-36,"4","Apoc2"
8.47404943238127e-18,5.87046187057309,0.259,0.005,2.12944388186309e-13,"4","F10"
2.01423229249196e-22,5.61053905139356,0.258,0.01,5.06156432780305e-18,"4","Ear2"
3.02602858038712e-33,11.3198951960163,0.393,0.001,7.6041072196548e-29,"5","Gpihbp1"
1.07780073075671e-100,10.1968588854133,0.891,0.003,2.70840545631855e-96,"5","Ptprb"
5.0750037193109e-42,10.1743529809172,0.517,0.001,1.27529768462564e-37,"5","Sox18"
2.00790510777271e-19,10.15842941176,0.285,0.001,5.04566474532205e-15,"5","Rbp7"
3.82739589748157e-75,10.0118949807267,0.777,0.003,9.61786315078143e-71,"5","Emcn"
2.51083980950338e-19,2.34545919682384,0.385,0.09,6.30948935730103e-15,"6","Cidea"
4.12833502480885e-62,2.26535820317193,0.969,0.287,1.03740930838421e-57,"6","Adcy3"
1.8873883667914e-10,2.17579051548269,0.266,0.068,4.74281822691012e-06,"6","Gm42912"
2.90753556072929e-62,2.16508715102569,0.951,0.282,7.30634611055663e-58,"6","Umodl1"
5.1826661003069e-40,2.15363615042855,0.768,0.224,1.30235216434612e-35,"6","Ano2"
3.8673572915118e-16,9.24764919847747,0.254,0.001,9.71828213784001e-12,"7","Ncr1"
1.05538015197775e-19,9.19368837973454,0.284,0.001,2.6520647839049e-15,"7","Klrb1c"
1.36611087024117e-18,9.08772645572517,0.31,0.001,3.43290000582904e-14,"7","Prf1"
1.1104962790933e-26,8.79129687324506,0.307,0.001,2.79056609973354e-22,"7","Gm2682"
1.08293512294733e-30,8.680892134684,0.369,0.002,2.72130767045434e-26,"7","Fasl"
1.51390828529271e-20,8.19722563897631,0.281,0.003,3.80430013011205e-16,"8","Grp"
3.23094984695732e-38,7.42332091697854,0.487,0.004,8.11905387041905e-34,"8","Thsd7b"
1.21543078153297e-31,7.18611866159188,0.391,0.004,3.05425601091421e-27,"8","Cnpy1"
1.28847157344412e-25,6.67338814208351,0.435,0.044,3.23780021690773e-21,"8","Tex15"
8.06412571656197e-63,6.61165022585285,0.603,0.007,2.02643415131486e-58,"8","Nhlh1"
1.5261515094536e-15,8.21077252443025,0.289,0.002,3.83506612810596e-11,"9","Stfa2l1"
6.15036956509088e-80,7.60335681639468,0.785,0.011,1.54552636801169e-75,"9","Cxcr2"
2.04654289697571e-43,6.83666142202675,0.534,0.016,5.14275764581025e-39,"9","Clec4d"
6.350808125894e-58,6.60526396516532,0.7,0.021,1.5958945739559e-53,"9","Trem1"
1.01744890143098e-26,6.57524344860331,0.361,0.012,2.55674734440591e-22,"9","Acod1"
