"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.93967474455724e-15,3.29993590107513,0.259,0.025,7.38710866559788e-11,"28","Trpm4"
3.22091963649924e-15,0.842785975396173,0.818,0.505,8.09384895455893e-11,"28","Cox17"
3.48285316314547e-15,1.34831001405978,0.696,0.34,8.75206171366824e-11,"28","Cdkn1a"
3.56890422258493e-15,1.16666401315114,0.436,0.166,8.96829942093366e-11,"28","Clmn"
3.86621564671487e-15,3.94417573773503,0.258,0.02,9.7154132986298e-11,"28","Tex26"
4.41957980035795e-15,1.95977677815128,0.345,0.094,1.11059620803195e-10,"28","Cfap58"
4.61124672164934e-15,2.65714101897788,0.3,0.044,1.15876018868326e-10,"28","Pgm2"
4.64754661120218e-15,1.48648258116606,0.618,0.252,1.167881987929e-10,"28","Cbx6"
5.14015374482898e-15,1.82181841769277,0.334,0.1,1.29166923453808e-10,"28","2610301B20Rik"
5.21009470728099e-15,2.48221634388345,0.32,0.063,1.30924469899264e-10,"28","Klhdc1"
5.61975231968132e-15,1.56345855779003,0.37,0.1,1.41218756041272e-10,"28","Ccdc88c"
6.04581058855912e-15,2.14812453496097,0.251,0.054,1.51925174279902e-10,"28","Msrb2"
6.17321424291128e-15,2.8671033731043,0.296,0.042,1.55126700710118e-10,"28","Rwdd3"
6.37748550110331e-15,1.32944632694583,0.52,0.196,1.60259833157225e-10,"28","Iqub"
6.94567897138569e-15,2.62341559156797,0.276,0.047,1.74537966871951e-10,"28","Ankrd45"
7.4533671764581e-15,1.66461584640223,0.359,0.076,1.87295663777216e-10,"28","Otx2"
8.22524448890327e-15,0.63194785192872,0.992,0.86,2.0669216876165e-10,"28","Ftl1"
8.242232670755e-15,2.49130284754325,0.299,0.051,2.07119064783402e-10,"28","Six4"
8.44877841493375e-15,1.86164431265048,0.444,0.131,2.1230935278887e-10,"28","Creld2"
8.75537334511062e-15,1.13814009414511,0.645,0.277,2.20013776789285e-10,"28","Sypl"
8.78712619182076e-15,2.32589328789643,0.313,0.057,2.20811694074264e-10,"28","Celsr1"
1.04042841786779e-14,1.24828558180699,0.662,0.322,2.61449257125996e-10,"28","Dhrs7"
1.13442879877388e-14,3.81907087908077,0.272,0.018,2.85070612843889e-10,"28","Plk5"
1.13963447249195e-14,1.64300192523243,0.419,0.134,2.86378746592501e-10,"28","Mnat1"
1.2128297559738e-14,1.29275021326228,0.759,0.387,3.04771989378657e-10,"28","Pfdn1"
1.42045944871883e-14,1.49287298401415,0.411,0.139,3.56947254868554e-10,"28","Urod"
1.48995466497178e-14,1.41718641307168,0.551,0.203,3.74410707760759e-10,"28","Slf1"
1.52142240439112e-14,2.13809313908566,0.341,0.078,3.82318235999444e-10,"28","Sccpdh"
1.60010093001716e-14,1.29399437955618,0.551,0.24,4.02089362704011e-10,"28","Dnajb2"
1.70463943576827e-14,1.91201795809995,0.492,0.151,4.28358843814207e-10,"28","Cdpf1"
1.80291829004319e-14,1.27896877086821,0.475,0.215,4.53055337104954e-10,"28","Rogdi"
2.03254730514182e-14,1.93039327211187,0.342,0.087,5.10758812309088e-10,"28","Pdxk"
