"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fermt3",31.2385668807552,-0.166138630386057,0.402287502140408,-0.412984816833983,0.679617737845084,0.836333037803726
"Pik3ap1",50.0435798344463,-0.1359461364434,0.327667632431746,-0.414890343103139,0.67822217949084,0.836333037803726
"Slc16a6",36.9862464638672,0.147994389452347,0.359557496392897,0.411601457171763,0.680631563390156,0.836694201516725
"Rpf1",13.0594770005616,0.266193718709178,0.647877706214823,0.410870317276998,0.681167628682284,0.836912661749004
"Stk24",38.5741511398586,-0.182058351416542,0.443572883649474,-0.410436160837123,0.681486024567046,0.836912661749004
"Atp5md",201.030704060709,-0.068022950852516,0.16563681781381,-0.410675306072226,0.681310636387568,0.836912661749004
"Abhd2",17.1675956376819,0.214036876941383,0.522369763906106,0.409742086411907,0.681995153495335,0.837260760909229
"Mapk1ip1l",14.5038249224035,-0.232691459914565,0.569064133796232,-0.408901995566436,0.682611584493741,0.837740317059802
"Tbl1xr1",33.7248884704973,0.156593892436914,0.387587649430529,0.404021884255065,0.686196626509999,0.839004966442147
"Slc31a1",12.5761772511571,-0.254274031891751,0.625565282631154,-0.406470817597587,0.684396694853817,0.839004966442147
"Eno1",54.1922220549281,-0.128851283023031,0.318298022400721,-0.404813332018802,0.685614728201243,0.839004966442147
"Vamp3",22.3877349466071,-0.187373308385186,0.465183360056424,-0.402794520342385,0.687099392609689,0.839004966442147
"Cdk11b",69.6505986942082,0.108459025932105,0.268832189399217,0.40344508659654,0.686620824285726,0.839004966442147
"Nsd2",14.8269241945335,-0.2534756063897,0.626027367146325,-0.404895408239323,0.685554393739178,0.839004966442147
"Klhl5",12.1005879690366,-0.253197551758749,0.627345626907997,-0.403601365656576,0.68650588127978,0.839004966442147
"1810058I24Rik",67.1233539485447,-0.111786665504999,0.277678634274508,-0.402575681766315,0.687260402430642,0.839004966442147
"Stxbp2",12.416085438824,0.260314414034484,0.639452861345779,0.407089294254829,0.683942406072826,0.839004966442147
"Itgb1",41.3013623014722,-0.14130096936313,0.349391378198484,-0.404420309658756,0.685903667827951,0.839004966442147
"Elk3",15.4253738831675,-0.228406682286264,0.56690778998958,-0.402899177466696,0.687022396462876,0.839004966442147
"Cpeb4",27.3245276937962,-0.16379082142767,0.404586877174781,-0.404834735549053,0.685598994212325,0.839004966442147
"Med10",12.3716243176511,-0.251600421048982,0.619344657652194,-0.406236524268646,0.684568819838028,0.839004966442147
"Kctd20",19.8206125417028,0.202913437483274,0.503412598014432,0.403075803592537,0.68689246015348,0.839004966442147
"Dhx16",13.2433703445996,0.257489721289126,0.638407147629127,0.4033315138237,0.686704361431157,0.839004966442147
"Brwd3",12.6676780706336,0.253830130801928,0.627101304429235,0.404767346215226,0.685648533371904,0.839004966442147
"Cep19",12.0355741759283,-0.248331983464257,0.617425105070917,-0.402205840716072,0.687532544106989,0.839061098235832
"Cop1",26.4108468048765,0.193242157284291,0.482178791684224,0.400768678790926,0.68859044097329,0.839247876481901
"Cdc123",16.1668083030001,0.212942911067743,0.530433893905429,0.401450422973364,0.68808853204594,0.839247876481901
"Ecpas",12.8458069327778,-0.250523839141479,0.625005364400401,-0.400834702245826,0.688541827646562,0.839247876481901
"Atp2b1",135.806377461469,0.0774375776119758,0.193164018713982,0.400890280330301,0.688500906284021,0.839247876481901
"Txlna",13.2875744541023,0.245520646336214,0.613914856110011,0.399926217606009,0.689210861286406,0.839350177328239
"Skap2",135.775278479631,-0.0791312572513873,0.197960223520932,-0.399733117309902,0.689353097121064,0.839350177328239
"Sft2d1",13.5929536579962,0.236497219069745,0.591338047148961,0.399935739311849,0.689203847972906,0.839350177328239
"Ssbp4",30.7066346451825,-0.161423494858747,0.405036036718476,-0.398541068509778,0.690231391810594,0.839868305548477
"Dcun1d5",24.2466933467549,0.181574874460302,0.455380104271598,0.398732559365412,0.690090274286478,0.839868305548477
"Gsdme",13.999299825934,0.235402853410374,0.59299114306373,0.396975327817122,0.69138565449002,0.840445864403005
